"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","7475","0.0-0.0","9/12/2023, 9:31:38 AM","conditionO","","","","","",""
"","call-function","1","7476","0.0-1.0","9/12/2023, 9:31:38 AM","conditionO","","","","","",""
"","instructions","2","12442","0.0-2.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":757.7000000476837},{""page_index"":1,""viewing_time"":928},{""page_index"":2,""viewing_time"":1575.8999999761581},{""page_index"":3,""viewing_time"":424.2000000476837},{""page_index"":4,""viewing_time"":431.89999997615814},{""page_index"":5,""viewing_time"":848}]","4965.900000095367","","",""
"","image-button-response","3","13602","0.0-3.0","9/12/2023, 9:31:38 AM","conditionO","","","1159.1000000238419","images/with_no_order_2.jpeg","1",""
"","instructions","4","14338","0.0-4.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":735.6999999284744}]","735.8999999761581","","",""
"","image-button-response","5","15330","0.0-5.0","9/12/2023, 9:31:38 AM","conditionO","","","990.7999999523163","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","15986","0.0-6.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":655.2999999523163}]","655.5","","",""
"","image-button-response","7","16898","0.0-7.0","9/12/2023, 9:31:38 AM","conditionO","","","911.6000000238419","images/with_order_2.jpeg","0",""
"","instructions","8","17538","0.0-8.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":639.3999999761581}]","639.6000000238419","","",""
"","instructions","9","18194","0.0-9.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":655.5}]","655.6000000238419","","",""
"","image-button-response","10","19026","0.0-10.0","9/12/2023, 9:31:38 AM","conditionO","","","831.3999999761581","images/memory_example_1.jpg","1",""
"","instructions","11","20226","0.0-11.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":647.6000000238419},{""page_index"":1,""viewing_time"":552}]","1199.8000000715256","","",""
"","image-button-response","12","29890","0.0-12.0","9/12/2023, 9:31:38 AM","conditionO","","","9663.399999976158","images/non_order_2.jpeg","1",""
"","image-button-response","13","31514","0.0-13.0","9/12/2023, 9:31:38 AM","conditionO","","","1623.2000000476837","images/scrambled_2.jpeg","2",""
"","image-button-response","14","33546","0.0-14.0","9/12/2023, 9:31:38 AM","conditionO","","","2031","images/order_2.jpeg","1",""
"","image-button-response","15","37802","0.0-15.0","9/12/2023, 9:31:38 AM","conditionO","","","4255.299999952316","images/memory_1.png","0",""
"","image-button-response","16","39730","0.0-16.0","9/12/2023, 9:31:38 AM","conditionO","","","1927.2999999523163","images/memory_2.png","0",""
"","image-button-response","17","43330","0.0-17.0","9/12/2023, 9:31:38 AM","conditionO","","","3599.2000000476837","images/memory_3.png","1",""
"","image-button-response","18","49747","0.0-18.0","9/12/2023, 9:31:38 AM","conditionO","","","6415.100000023842","images/scrambled_1.jpeg","2",""
"","image-button-response","19","53123","0.0-19.0","9/12/2023, 9:31:38 AM","conditionO","","","3375.2000000476837","images/order_1.jpeg","0",""
"","image-button-response","20","54675","0.0-20.0","9/12/2023, 9:31:38 AM","conditionO","","","1551.1000000238419","images/non_order_1.jpeg","1",""
"","image-button-response","21","63971","0.0-21.0","9/12/2023, 9:31:38 AM","conditionO","","","9295.200000047684","images/memory_4.png","1",""
"","image-button-response","22","68186","0.0-22.0","9/12/2023, 9:31:38 AM","conditionO","","","4215.100000023842","images/memory_6.png","0",""
"","image-button-response","23","70651","0.0-23.0","9/12/2023, 9:31:38 AM","conditionO","","","2463.6999999284744","images/memory_5.png","1",""
"","image-button-response","24","72987","0.0-24.0","9/12/2023, 9:31:38 AM","conditionO","","","2334.7999999523163","images/non_order_44.jpeg","1",""
"","image-button-response","25","75994","0.0-25.0","9/12/2023, 9:31:38 AM","conditionO","","","3007.1999999284744","images/non_order_22.jpeg","1",""
"","image-button-response","26","77755","0.0-26.0","9/12/2023, 9:31:38 AM","conditionO","","","1759.3999999761581","images/order_66.jpeg","0",""
"","image-button-response","27","79787","0.0-27.0","9/12/2023, 9:31:38 AM","conditionO","","","2031.2999999523163","images/memory_14.jpg","0",""
"","image-button-response","28","80899","0.0-28.0","9/12/2023, 9:31:38 AM","conditionO","","","1111.8000000715256","images/memory_15.jpg","0",""
"","image-button-response","29","82795","0.0-29.0","9/12/2023, 9:31:38 AM","conditionO","","","1894.5","images/memory_16.png","1",""
"","survey-text","30","84924","0.0-30.0","9/12/2023, 9:31:38 AM","conditionO","","","2127.399999976158","","","{""Q0"":""36""}"
"","survey-text","31","87523","0.0-31.0","9/12/2023, 9:31:38 AM","conditionO","","","2595.600000023842","","","{""Q0"":""male""}"
"","instructions","32","89506","0.0-32.0","9/12/2023, 9:31:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":1982.6999999284744}]","1982.7999999523163","","",""
