"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","10609","0.0-0.0","9/12/2023, 6:44:24 AM","conditionS","","","","","",""
"","call-function","1","10611","0.0-1.0","9/12/2023, 6:44:24 AM","conditionS","","","","","",""
"","instructions","2","46379","0.0-2.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":19614},{""page_index"":1,""viewing_time"":2200},{""page_index"":2,""viewing_time"":5393},{""page_index"":3,""viewing_time"":3694},{""page_index"":4,""viewing_time"":2876},{""page_index"":5,""viewing_time"":1987}]","35767","","",""
"","image-button-response","3","49347","0.0-3.0","9/12/2023, 6:44:24 AM","conditionS","","","2958","images/with_no_order_2.jpeg","1",""
"","instructions","4","52330","0.0-4.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":2978}]","2981","","",""
"","image-button-response","5","53950","0.0-5.0","9/12/2023, 6:44:24 AM","conditionS","","","1615","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","55343","0.0-6.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":1391}]","1391","","",""
"","image-button-response","7","57227","0.0-7.0","9/12/2023, 6:44:24 AM","conditionS","","","1879","images/with_order_2.jpeg","0",""
"","instructions","8","58620","0.0-8.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":1390}]","1392","","",""
"","instructions","9","59948","0.0-9.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":1325}]","1327","","",""
"","image-button-response","10","64452","0.0-10.0","9/12/2023, 6:44:24 AM","conditionS","","","4501","images/memory_example_1.jpg","1",""
"","instructions","11","69239","0.0-11.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":2777},{""page_index"":1,""viewing_time"":2009}]","4786","","",""
"","image-button-response","12","72736","0.0-12.0","9/12/2023, 6:44:24 AM","conditionS","","","3487","images/non_order_2.jpeg","1",""
"","image-button-response","13","75217","0.0-13.0","9/12/2023, 6:44:24 AM","conditionS","","","2475","images/scrambled_2.jpeg","2",""
"","image-button-response","14","78520","0.0-14.0","9/12/2023, 6:44:24 AM","conditionS","","","3299","images/order_2.jpeg","1",""
"","image-button-response","15","82637","0.0-15.0","9/12/2023, 6:44:24 AM","conditionS","","","4112","images/memory_1.png","0",""
"","image-button-response","16","84375","0.0-16.0","9/12/2023, 6:44:24 AM","conditionS","","","1737","images/memory_2.png","1",""
"","image-button-response","17","86459","0.0-17.0","9/12/2023, 6:44:24 AM","conditionS","","","2079","images/memory_3.png","0",""
"","image-button-response","18","88777","0.0-18.0","9/12/2023, 6:44:24 AM","conditionS","","","2313","images/scrambled_1.jpeg","0",""
"","image-button-response","19","90978","0.0-19.0","9/12/2023, 6:44:24 AM","conditionS","","","2195","images/order_1.jpeg","1",""
"","image-button-response","20","92703","0.0-20.0","9/12/2023, 6:44:24 AM","conditionS","","","1722","images/non_order_1.jpeg","0",""
"","image-button-response","21","94722","0.0-21.0","9/12/2023, 6:44:24 AM","conditionS","","","2006","images/memory_4.png","1",""
"","image-button-response","22","95876","0.0-22.0","9/12/2023, 6:44:24 AM","conditionS","","","1148","images/memory_6.png","1",""
"","image-button-response","23","97110","0.0-23.0","9/12/2023, 6:44:24 AM","conditionS","","","1229","images/memory_5.png","0",""
"","image-button-response","24","101094","0.0-24.0","9/12/2023, 6:44:24 AM","conditionS","","","3977","images/non_order_44.jpeg","1",""
"","image-button-response","25","102731","0.0-25.0","9/12/2023, 6:44:24 AM","conditionS","","","1633","images/non_order_22.jpeg","1",""
"","image-button-response","26","104141","0.0-26.0","9/12/2023, 6:44:24 AM","conditionS","","","1406","images/order_66.jpeg","0",""
"","image-button-response","27","105811","0.0-27.0","9/12/2023, 6:44:24 AM","conditionS","","","1660","images/memory_14.jpg","1",""
"","image-button-response","28","106992","0.0-28.0","9/12/2023, 6:44:24 AM","conditionS","","","1174","images/memory_15.jpg","0",""
"","image-button-response","29","108177","0.0-29.0","9/12/2023, 6:44:24 AM","conditionS","","","1182","images/memory_16.png","0",""
"","survey-text","30","110369","0.0-30.0","9/12/2023, 6:44:24 AM","conditionS","","","2171","","","{""Q0"":""32""}"
"","survey-text","31","121465","0.0-31.0","9/12/2023, 6:44:24 AM","conditionS","","","11084","","","{""Q0"":""FEMALE""}"
"","instructions","32","138988","0.0-32.0","9/12/2023, 6:44:24 AM","conditionS","","[{""page_index"":0,""viewing_time"":17518}]","17519","","",""
