"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","86141","0.0-0.0","9/12/2023, 8:07:15 AM","conditionS","","","","","",""
"","call-function","1","86145","0.0-1.0","9/12/2023, 8:07:15 AM","conditionS","","","","","",""
"","instructions","2","286812","0.0-2.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":2382},{""page_index"":1,""viewing_time"":107200},{""page_index"":2,""viewing_time"":37880},{""page_index"":3,""viewing_time"":36521},{""page_index"":4,""viewing_time"":11934},{""page_index"":5,""viewing_time"":4745}]","200666","","",""
"","image-button-response","3","292105","0.0-3.0","9/12/2023, 8:07:15 AM","conditionS","","","5289","images/with_no_order_2.jpeg","1",""
"","instructions","4","294000","0.0-4.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":1893}]","1894","","",""
"","image-button-response","5","295632","0.0-5.0","9/12/2023, 8:07:15 AM","conditionS","","","1630","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","296968","0.0-6.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":1335}]","1335","","",""
"","image-button-response","7","299400","0.0-7.0","9/12/2023, 8:07:15 AM","conditionS","","","2429","images/with_order_2.jpeg","0",""
"","instructions","8","300904","0.0-8.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":1502}]","1502","","",""
"","instructions","9","303048","0.0-9.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":2142}]","2143","","",""
"","image-button-response","10","320824","0.0-10.0","9/12/2023, 8:07:15 AM","conditionS","","","17772","images/memory_example_1.jpg","1",""
"","instructions","11","324200","0.0-11.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":2254},{""page_index"":1,""viewing_time"":1120}]","3374","","",""
"","image-button-response","12","329368","0.0-12.0","9/12/2023, 8:07:15 AM","conditionS","","","5165","images/non_order_2.jpeg","1",""
"","image-button-response","13","333648","0.0-13.0","9/12/2023, 8:07:15 AM","conditionS","","","4278","images/scrambled_2.jpeg","2",""
"","image-button-response","14","340480","0.0-14.0","9/12/2023, 8:07:15 AM","conditionS","","","6829","images/order_2.jpeg","1",""
"","image-button-response","15","346544","0.0-15.0","9/12/2023, 8:07:15 AM","conditionS","","","6062","images/memory_1.png","1",""
"","image-button-response","16","348768","0.0-16.0","9/12/2023, 8:07:15 AM","conditionS","","","2221","images/memory_2.png","0",""
"","image-button-response","17","352185","0.0-17.0","9/12/2023, 8:07:15 AM","conditionS","","","3414","images/memory_3.png","1",""
"","image-button-response","18","362008","0.0-18.0","9/12/2023, 8:07:15 AM","conditionS","","","9821","images/scrambled_1.jpeg","2",""
"","image-button-response","19","367280","0.0-19.0","9/12/2023, 8:07:15 AM","conditionS","","","5269","images/order_1.jpeg","0",""
"","image-button-response","20","383008","0.0-20.0","9/12/2023, 8:07:15 AM","conditionS","","","15726","images/non_order_1.jpeg","1",""
"","image-button-response","21","387176","0.0-21.0","9/12/2023, 8:07:15 AM","conditionS","","","4166","images/memory_4.png","1",""
"","image-button-response","22","390024","0.0-22.0","9/12/2023, 8:07:15 AM","conditionS","","","2845","images/memory_6.png","0",""
"","image-button-response","23","400009","0.0-23.0","9/12/2023, 8:07:15 AM","conditionS","","","9982","images/memory_5.png","1",""
"","image-button-response","24","408649","0.0-24.0","9/12/2023, 8:07:15 AM","conditionS","","","8636","images/non_order_44.jpeg","1",""
"","image-button-response","25","416064","0.0-25.0","9/12/2023, 8:07:15 AM","conditionS","","","7412","images/non_order_22.jpeg","1",""
"","image-button-response","26","422000","0.0-26.0","9/12/2023, 8:07:15 AM","conditionS","","","5933","images/order_66.jpeg","0",""
"","image-button-response","27","425968","0.0-27.0","9/12/2023, 8:07:15 AM","conditionS","","","3966","images/memory_14.jpg","1",""
"","image-button-response","28","429488","0.0-28.0","9/12/2023, 8:07:15 AM","conditionS","","","3518","images/memory_15.jpg","0",""
"","image-button-response","29","433384","0.0-29.0","9/12/2023, 8:07:15 AM","conditionS","","","3894","images/memory_16.png","1",""
"","survey-text","30","436161","0.0-30.0","9/12/2023, 8:07:15 AM","conditionS","","","2727","","","{""Q0"":""28""}"
"","survey-text","31","443641","0.0-31.0","9/12/2023, 8:07:15 AM","conditionS","","","7460","","","{""Q0"":""FEMALE""}"
"","instructions","32","463945","0.0-32.0","9/12/2023, 8:07:15 AM","conditionS","","[{""page_index"":0,""viewing_time"":20302}]","20303","","",""
