"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","2353","0.0-0.0","24.8.2023, 14:41:37","conditionO","","","","","","","","",""
"","instructions","1","20979","0.0-1.0","24.8.2023, 14:41:37","conditionO","[{""page_index"":0,""viewing_time"":1088.300000011921},{""page_index"":1,""viewing_time"":920.1000000238419},{""page_index"":2,""viewing_time"":10167.899999976158},{""page_index"":3,""viewing_time"":1552.8999999761581},{""page_index"":2,""viewing_time"":2915.2000000476837},{""page_index"":3,""viewing_time"":1979.699999988079}]","18624.600000023842","","","","","","",""
"","order","2","67483","0.0-2.0","24.8.2023, 14:41:37","conditionO","","46503","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":338,""move_time"":39781},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":338,""move_time"":1459},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":338,""move_time"":2593},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":338,""move_time"":1465}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":316,""y"":338},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":477,""y"":338},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":639,""y"":338},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":800,""y"":338}]","4","","",""
"","instructions","3","68586","0.0-3.0","24.8.2023, 14:41:37","conditionO","[{""page_index"":0,""viewing_time"":1102.800000011921}]","1103.1000000238419","","","","","","",""
"","order","4","93171","0.0-4.0","24.8.2023, 14:41:37","conditionO","","24584","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":477,""y"":338,""move_time"":8270},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":338,""move_time"":10835},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":338,""move_time"":1718},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":338,""move_time"":1043},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":338,""move_time"":1714}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":316,""y"":338},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":477,""y"":338},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":639,""y"":338},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":800,""y"":338}]","5","","",""
"","html-button-response","5","94388","0.0-5.0","24.8.2023, 14:41:37","conditionO","","1214.7999999523163","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","6","95875","0.0-6.0","24.8.2023, 14:41:37","conditionO","","1475.8999999761581","","","","","","","{""Q0"":""""}"
"","order","7","99379","0.0-7.0","24.8.2023, 14:41:37","conditionO","","3503","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":316,""y"":338},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":477,""y"":338},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":639,""y"":338},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":800,""y"":338}]","0","","",""
"","html-button-response","8","100355","0.0-8.0","24.8.2023, 14:41:37","conditionO","","975","","","","","<p>How difficult was it to order the pictures?</p>","2",""
"","survey-text","9","101315","0.0-9.0","24.8.2023, 14:41:37","conditionO","","958.7999999523163","","","","","","","{""Q0"":""""}"
