"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","4222","0.0-0.0","9/12/2023, 6:06:37 AM","conditionS","","","","","",""
"","call-function","1","4223","0.0-1.0","9/12/2023, 6:06:37 AM","conditionS","","","","","",""
"","instructions","2","26590","0.0-2.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":1363.1000001430511},{""page_index"":1,""viewing_time"":4981.899999856949},{""page_index"":2,""viewing_time"":3967.800000190735},{""page_index"":3,""viewing_time"":1914.6999998092651},{""page_index"":4,""viewing_time"":3766.9000000953674},{""page_index"":5,""viewing_time"":6370.799999952316}]","22365.700000047684","","",""
"","image-button-response","3","30087","0.0-3.0","9/12/2023, 6:06:37 AM","conditionS","","","3495.4000000953674","images/with_no_order_2.jpeg","1",""
"","instructions","4","32087","0.0-4.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":1999.7999999523163}]","2000","","",""
"","image-button-response","5","33506","0.0-5.0","9/12/2023, 6:06:37 AM","conditionS","","","1417.2999999523163","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","35227","0.0-6.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":1720.2999999523163}]","1720.3999998569489","","",""
"","image-button-response","7","37726","0.0-7.0","9/12/2023, 6:06:37 AM","conditionS","","","2497.9000000953674","images/with_order_2.jpeg","0",""
"","instructions","8","39113","0.0-8.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":1386.2000000476837}]","1386.5","","",""
"","instructions","9","44722","0.0-9.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":5607.799999952316}]","5608","","",""
"","image-button-response","10","78023","0.0-10.0","9/12/2023, 6:06:37 AM","conditionS","","","33300.59999990463","images/memory_example_1.jpg","1",""
"","instructions","11","83569","0.0-11.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":3519.2000000476837},{""page_index"":1,""viewing_time"":2025.2999999523163}]","5544.900000095367","","",""
"","image-button-response","12","87093","0.0-12.0","9/12/2023, 6:06:37 AM","conditionS","","","3522.399999856949","images/non_order_2.jpeg","1",""
"","image-button-response","13","91073","0.0-13.0","9/12/2023, 6:06:37 AM","conditionS","","","3978.5","images/scrambled_2.jpeg","2",""
"","image-button-response","14","97925","0.0-14.0","9/12/2023, 6:06:37 AM","conditionS","","","6851.199999809265","images/order_2.jpeg","1",""
"","image-button-response","15","102156","0.0-15.0","9/12/2023, 6:06:37 AM","conditionS","","","4229.199999809265","images/memory_1.png","0",""
"","image-button-response","16","111524","0.0-16.0","9/12/2023, 6:06:37 AM","conditionS","","","9366.900000095367","images/memory_2.png","1",""
"","image-button-response","17","113336","0.0-17.0","9/12/2023, 6:06:37 AM","conditionS","","","1810.9000000953674","images/memory_3.png","0",""
"","image-button-response","18","121065","0.0-18.0","9/12/2023, 6:06:37 AM","conditionS","","","7726.399999856949","images/scrambled_1.jpeg","1",""
"","image-button-response","19","124724","0.0-19.0","9/12/2023, 6:06:37 AM","conditionS","","","3658","images/order_1.jpeg","0",""
"","image-button-response","20","128344","0.0-20.0","9/12/2023, 6:06:37 AM","conditionS","","","3617.7999999523163","images/non_order_1.jpeg","1",""
"","image-button-response","21","141208","0.0-21.0","9/12/2023, 6:06:37 AM","conditionS","","","12862.700000047684","images/memory_4.png","0",""
"","image-button-response","22","146932","0.0-22.0","9/12/2023, 6:06:37 AM","conditionS","","","5722.599999904633","images/memory_6.png","1",""
"","image-button-response","23","149810","0.0-23.0","9/12/2023, 6:06:37 AM","conditionS","","","2875.7999999523163","images/memory_5.png","1",""
"","image-button-response","24","152092","0.0-24.0","9/12/2023, 6:06:37 AM","conditionS","","","2280.899999856949","images/non_order_44.jpeg","1",""
"","image-button-response","25","158279","0.0-25.0","9/12/2023, 6:06:37 AM","conditionS","","","6185.900000095367","images/non_order_22.jpeg","1",""
"","image-button-response","26","162175","0.0-26.0","9/12/2023, 6:06:37 AM","conditionS","","","3894.9000000953674","images/order_66.jpeg","0",""
"","image-button-response","27","164826","0.0-27.0","9/12/2023, 6:06:37 AM","conditionS","","","2649.2999999523163","images/memory_14.jpg","0",""
"","image-button-response","28","166481","0.0-28.0","9/12/2023, 6:06:37 AM","conditionS","","","1653.7000000476837","images/memory_15.jpg","1",""
"","image-button-response","29","169902","0.0-29.0","9/12/2023, 6:06:37 AM","conditionS","","","3420","images/memory_16.png","0",""
"","survey-text","30","174086","0.0-30.0","9/12/2023, 6:06:37 AM","conditionS","","","4179.099999904633","","","{""Q0"":""28""}"
"","survey-text","31","180822","0.0-31.0","9/12/2023, 6:06:37 AM","conditionS","","","6730.599999904633","","","{""Q0"":""Male""}"
"","instructions","32","185099","0.0-32.0","9/12/2023, 6:06:37 AM","conditionS","","[{""page_index"":0,""viewing_time"":4276}]","4276.299999952316","","",""
