"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","5967","0.0-0.0","9/12/2023, 9:37:38 AM","conditionO","","","","","",""
"","call-function","1","5969","0.0-1.0","9/12/2023, 9:37:38 AM","conditionO","","","","","",""
"","instructions","2","27015","0.0-2.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":1452.699999988079},{""page_index"":1,""viewing_time"":7438.100000023842},{""page_index"":2,""viewing_time"":2419.7999999523163},{""page_index"":3,""viewing_time"":1452.1000000238419},{""page_index"":4,""viewing_time"":4721.800000011921},{""page_index"":5,""viewing_time"":3560.599999964237}]","21045.80000001192","","",""
"","image-button-response","3","30608","0.0-3.0","9/12/2023, 9:37:38 AM","conditionO","","","3589.899999976158","images/with_no_order_2.jpeg","1",""
"","instructions","4","32437","0.0-4.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":1826.6000000238419}]","1827","","",""
"","image-button-response","5","34111","0.0-5.0","9/12/2023, 9:37:38 AM","conditionO","","","1671.800000011921","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","35250","0.0-6.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":1138.0999999642372}]","1138.5","","",""
"","image-button-response","7","37031","0.0-7.0","9/12/2023, 9:37:38 AM","conditionO","","","1778.4000000357628","images/with_order_2.jpeg","0",""
"","instructions","8","38080","0.0-8.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":1047.7999999523163}]","1048.199999988079","","",""
"","instructions","9","40320","0.0-9.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":2238.099999964237}]","2238.599999964237","","",""
"","image-button-response","10","49532","0.0-10.0","9/12/2023, 9:37:38 AM","conditionO","","","9210.199999988079","images/memory_example_1.jpg","0",""
"","instructions","11","53303","0.0-11.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":2434.800000011921},{""page_index"":1,""viewing_time"":1335.3999999761581}]","3770.5","","",""
"","image-button-response","12","59201","0.0-12.0","9/12/2023, 9:37:38 AM","conditionO","","","5897.099999964237","images/non_order_2.jpeg","1",""
"","image-button-response","13","63567","0.0-13.0","9/12/2023, 9:37:38 AM","conditionO","","","4364.100000023842","images/scrambled_2.jpeg","2",""
"","image-button-response","14","70769","0.0-14.0","9/12/2023, 9:37:38 AM","conditionO","","","7199.800000011921","images/order_2.jpeg","1",""
"","image-button-response","15","77265","0.0-15.0","9/12/2023, 9:37:38 AM","conditionO","","","6494.300000011921","images/memory_1.png","0",""
"","image-button-response","16","79997","0.0-16.0","9/12/2023, 9:37:38 AM","conditionO","","","2730.399999976158","images/memory_2.png","1",""
"","image-button-response","17","85263","0.0-17.0","9/12/2023, 9:37:38 AM","conditionO","","","5264.100000023842","images/memory_3.png","1",""
"","image-button-response","18","89955","0.0-18.0","9/12/2023, 9:37:38 AM","conditionO","","","4690.5","images/scrambled_1.jpeg","2",""
"","image-button-response","19","95650","0.0-19.0","9/12/2023, 9:37:38 AM","conditionO","","","5692.100000023842","images/order_1.jpeg","0",""
"","image-button-response","20","98585","0.0-20.0","9/12/2023, 9:37:38 AM","conditionO","","","2932.800000011921","images/non_order_1.jpeg","1",""
"","image-button-response","21","100873","0.0-21.0","9/12/2023, 9:37:38 AM","conditionO","","","2286.699999988079","images/memory_4.png","1",""
"","image-button-response","22","107226","0.0-22.0","9/12/2023, 9:37:38 AM","conditionO","","","6350.799999952316","images/memory_6.png","0",""
"","image-button-response","23","110138","0.0-23.0","9/12/2023, 9:37:38 AM","conditionO","","","2910.600000023842","images/memory_5.png","0",""
"","image-button-response","24","115503","0.0-24.0","9/12/2023, 9:37:38 AM","conditionO","","","5362.599999964237","images/non_order_44.jpeg","1",""
"","image-button-response","25","127586","0.0-25.0","9/12/2023, 9:37:38 AM","conditionO","","","12081.5","images/non_order_22.jpeg","1",""
"","image-button-response","26","134807","0.0-26.0","9/12/2023, 9:37:38 AM","conditionO","","","7218.300000011921","images/order_66.jpeg","0",""
"","image-button-response","27","137463","0.0-27.0","9/12/2023, 9:37:38 AM","conditionO","","","2653.899999976158","images/memory_14.jpg","0",""
"","image-button-response","28","139678","0.0-28.0","9/12/2023, 9:37:38 AM","conditionO","","","2213.199999988079","images/memory_15.jpg","0",""
"","image-button-response","29","145115","0.0-29.0","9/12/2023, 9:37:38 AM","conditionO","","","5434.699999988079","images/memory_16.png","1",""
"","survey-text","30","147412","0.0-30.0","9/12/2023, 9:37:38 AM","conditionO","","","2292","","","{""Q0"":""34""}"
"","survey-text","31","150447","0.0-31.0","9/12/2023, 9:37:38 AM","conditionO","","","3032.399999976158","","","{""Q0"":""FEMALE""}"
"","instructions","32","155285","0.0-32.0","9/12/2023, 9:37:38 AM","conditionO","","[{""page_index"":0,""viewing_time"":4836.399999976158}]","4836.599999964237","","",""
