"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2500","0.0-0.0","9/12/2023, 10:00:27 AM","conditionO","","","","","",""
"","call-function","1","2500","0.0-1.0","9/12/2023, 10:00:27 AM","conditionO","","","","","",""
"","instructions","2","14257","0.0-2.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":995},{""page_index"":1,""viewing_time"":4401},{""page_index"":2,""viewing_time"":1514},{""page_index"":3,""viewing_time"":577},{""page_index"":4,""viewing_time"":1056},{""page_index"":5,""viewing_time"":3214}]","11757","","",""
"","image-button-response","3","18779","0.0-3.0","9/12/2023, 10:00:27 AM","conditionO","","","4522","images/with_no_order_2.jpeg","1",""
"","instructions","4","20745","0.0-4.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":1965}]","1965","","",""
"","image-button-response","5","22002","0.0-5.0","9/12/2023, 10:00:27 AM","conditionO","","","1257","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","22891","0.0-6.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":889}]","889","","",""
"","image-button-response","7","24174","0.0-7.0","9/12/2023, 10:00:27 AM","conditionO","","","1282","images/with_order_2.jpeg","0",""
"","instructions","8","24754","0.0-8.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":580}]","580","","",""
"","instructions","9","27032","0.0-9.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":2278}]","2278","","",""
"","image-button-response","10","38147","0.0-10.0","9/12/2023, 10:00:27 AM","conditionO","","","11115","images/memory_example_1.jpg","1",""
"","instructions","11","40852","0.0-11.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":1642},{""page_index"":1,""viewing_time"":1061}]","2703","","",""
"","image-button-response","12","44900","0.0-12.0","9/12/2023, 10:00:27 AM","conditionO","","","4049","images/non_order_2.jpeg","1",""
"","image-button-response","13","46877","0.0-13.0","9/12/2023, 10:00:27 AM","conditionO","","","1977","images/scrambled_2.jpeg","2",""
"","image-button-response","14","48814","0.0-14.0","9/12/2023, 10:00:27 AM","conditionO","","","1936","images/order_2.jpeg","0",""
"","image-button-response","15","58350","0.0-15.0","9/12/2023, 10:00:27 AM","conditionO","","","9536","images/memory_1.png","0",""
"","image-button-response","16","70048","0.0-16.0","9/12/2023, 10:00:27 AM","conditionO","","","11697","images/memory_2.png","0",""
"","image-button-response","17","75707","0.0-17.0","9/12/2023, 10:00:27 AM","conditionO","","","5658","images/memory_3.png","0",""
"","image-button-response","18","81979","0.0-18.0","9/12/2023, 10:00:27 AM","conditionO","","","6273","images/scrambled_1.jpeg","2",""
"","image-button-response","19","84533","0.0-19.0","9/12/2023, 10:00:27 AM","conditionO","","","2554","images/order_1.jpeg","0",""
"","image-button-response","20","87956","0.0-20.0","9/12/2023, 10:00:27 AM","conditionO","","","3423","images/non_order_1.jpeg","1",""
"","image-button-response","21","99508","0.0-21.0","9/12/2023, 10:00:27 AM","conditionO","","","11551","images/memory_4.png","1",""
"","image-button-response","22","104533","0.0-22.0","9/12/2023, 10:00:27 AM","conditionO","","","5025","images/memory_6.png","0",""
"","image-button-response","23","107551","0.0-23.0","9/12/2023, 10:00:27 AM","conditionO","","","3017","images/memory_5.png","0",""
"","image-button-response","24","115088","0.0-24.0","9/12/2023, 10:00:27 AM","conditionO","","","7535","images/non_order_44.jpeg","1",""
"","image-button-response","25","119340","0.0-25.0","9/12/2023, 10:00:27 AM","conditionO","","","4253","images/non_order_22.jpeg","1",""
"","image-button-response","26","121194","0.0-26.0","9/12/2023, 10:00:27 AM","conditionO","","","1853","images/order_66.jpeg","0",""
"","image-button-response","27","124711","0.0-27.0","9/12/2023, 10:00:27 AM","conditionO","","","3516","images/memory_14.jpg","0",""
"","image-button-response","28","128699","0.0-28.0","9/12/2023, 10:00:27 AM","conditionO","","","3986","images/memory_15.jpg","0",""
"","image-button-response","29","134032","0.0-29.0","9/12/2023, 10:00:27 AM","conditionO","","","5333","images/memory_16.png","1",""
"","survey-text","30","136991","0.0-30.0","9/12/2023, 10:00:27 AM","conditionO","","","2957","","","{""Q0"":""29""}"
"","survey-text","31","141620","0.0-31.0","9/12/2023, 10:00:27 AM","conditionO","","","4628","","","{""Q0"":""Male""}"
"","instructions","32","146521","0.0-32.0","9/12/2023, 10:00:27 AM","conditionO","","[{""page_index"":0,""viewing_time"":4902}]","4902","","",""
