"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","14183","0.0-0.0","9/12/2023, 7:55:20 AM","conditionO","","","","","",""
"","call-function","1","14187","0.0-1.0","9/12/2023, 7:55:20 AM","conditionO","","","","","",""
"","instructions","2","58305","0.0-2.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":6065},{""page_index"":1,""viewing_time"":7007},{""page_index"":2,""viewing_time"":14980},{""page_index"":3,""viewing_time"":4612},{""page_index"":4,""viewing_time"":6572},{""page_index"":5,""viewing_time"":4877}]","44115","","",""
"","image-button-response","3","66893","0.0-3.0","9/12/2023, 7:55:20 AM","conditionO","","","8582","images/with_no_order_2.jpeg","1",""
"","instructions","4","72586","0.0-4.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":5689}]","5692","","",""
"","image-button-response","5","76394","0.0-5.0","9/12/2023, 7:55:20 AM","conditionO","","","3801","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","80002","0.0-6.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":3607}]","3608","","",""
"","image-button-response","7","83449","0.0-7.0","9/12/2023, 7:55:20 AM","conditionO","","","3442","images/with_order_2.jpeg","0",""
"","instructions","8","86788","0.0-8.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":3334}]","3336","","",""
"","instructions","9","90577","0.0-9.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":3785}]","3788","","",""
"","image-button-response","10","111447","0.0-10.0","9/12/2023, 7:55:20 AM","conditionO","","","20866","images/memory_example_1.jpg","0",""
"","instructions","11","117703","0.0-11.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":4152},{""page_index"":1,""viewing_time"":2098}]","6251","","",""
"","image-button-response","12","126246","0.0-12.0","9/12/2023, 7:55:20 AM","conditionO","","","8538","images/non_order_2.jpeg","1",""
"","image-button-response","13","135087","0.0-13.0","9/12/2023, 7:55:20 AM","conditionO","","","8837","images/scrambled_2.jpeg","2",""
"","image-button-response","14","145484","0.0-14.0","9/12/2023, 7:55:20 AM","conditionO","","","10394","images/order_2.jpeg","0",""
"","image-button-response","15","153183","0.0-15.0","9/12/2023, 7:55:20 AM","conditionO","","","7696","images/memory_1.png","0",""
"","image-button-response","16","157125","0.0-16.0","9/12/2023, 7:55:20 AM","conditionO","","","3939","images/memory_2.png","1",""
"","image-button-response","17","160795","0.0-17.0","9/12/2023, 7:55:20 AM","conditionO","","","3664","images/memory_3.png","0",""
"","image-button-response","18","168222","0.0-18.0","9/12/2023, 7:55:20 AM","conditionO","","","7425","images/scrambled_1.jpeg","1",""
"","image-button-response","19","175787","0.0-19.0","9/12/2023, 7:55:20 AM","conditionO","","","7561","images/order_1.jpeg","2",""
"","image-button-response","20","184068","0.0-20.0","9/12/2023, 7:55:20 AM","conditionO","","","8277","images/non_order_1.jpeg","1",""
"","image-button-response","21","188721","0.0-21.0","9/12/2023, 7:55:20 AM","conditionO","","","4650","images/memory_4.png","1",""
"","image-button-response","22","191453","0.0-22.0","9/12/2023, 7:55:20 AM","conditionO","","","2728","images/memory_6.png","0",""
"","image-button-response","23","197771","0.0-23.0","9/12/2023, 7:55:20 AM","conditionO","","","6315","images/memory_5.png","1",""
"","image-button-response","24","203861","0.0-24.0","9/12/2023, 7:55:20 AM","conditionO","","","6086","images/non_order_44.jpeg","0",""
"","image-button-response","25","207375","0.0-25.0","9/12/2023, 7:55:20 AM","conditionO","","","3511","images/non_order_22.jpeg","0",""
"","image-button-response","26","211811","0.0-26.0","9/12/2023, 7:55:20 AM","conditionO","","","4432","images/order_66.jpeg","1",""
"","image-button-response","27","214717","0.0-27.0","9/12/2023, 7:55:20 AM","conditionO","","","2902","images/memory_14.jpg","1",""
"","image-button-response","28","217404","0.0-28.0","9/12/2023, 7:55:20 AM","conditionO","","","2684","images/memory_15.jpg","1",""
"","image-button-response","29","220291","0.0-29.0","9/12/2023, 7:55:20 AM","conditionO","","","2884","images/memory_16.png","0",""
"","survey-text","30","226562","0.0-30.0","9/12/2023, 7:55:20 AM","conditionO","","","6243","","","{""Q0"":""35""}"
"","survey-text","31","237032","0.0-31.0","9/12/2023, 7:55:20 AM","conditionO","","","10448","","","{""Q0"":""Female""}"
"","instructions","32","403831","0.0-32.0","9/12/2023, 7:55:20 AM","conditionO","","[{""page_index"":0,""viewing_time"":166795}]","166796","","",""
