"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","3586","0.0-0.0","9/12/2023, 7:07:05 AM","conditionO","","","","","",""
"","call-function","1","3587","0.0-1.0","9/12/2023, 7:07:05 AM","conditionO","","","","","",""
"","instructions","2","32006","0.0-2.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":2119},{""page_index"":1,""viewing_time"":7919},{""page_index"":2,""viewing_time"":2625},{""page_index"":3,""viewing_time"":2307},{""page_index"":4,""viewing_time"":4681},{""page_index"":5,""viewing_time"":8766}]","28417","","",""
"","image-button-response","3","34292","0.0-3.0","9/12/2023, 7:07:05 AM","conditionO","","","2285","images/with_no_order_2.jpeg","1",""
"","instructions","4","36668","0.0-4.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":2375}]","2375","","",""
"","image-button-response","5","38628","0.0-5.0","9/12/2023, 7:07:05 AM","conditionO","","","1957","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","40340","0.0-6.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":1711}]","1713","","",""
"","image-button-response","7","42912","0.0-7.0","9/12/2023, 7:07:05 AM","conditionO","","","2569","images/with_order_2.jpeg","0",""
"","instructions","8","44542","0.0-8.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":1630}]","1630","","",""
"","instructions","9","48231","0.0-9.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":3687}]","3687","","",""
"","image-button-response","10","56638","0.0-10.0","9/12/2023, 7:07:05 AM","conditionO","","","8406","images/memory_example_1.jpg","0",""
"","instructions","11","62085","0.0-11.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":2416},{""page_index"":1,""viewing_time"":3029}]","5445","","",""
"","image-button-response","12","69858","0.0-12.0","9/12/2023, 7:07:05 AM","conditionO","","","7772","images/non_order_2.jpeg","1",""
"","image-button-response","13","79267","0.0-13.0","9/12/2023, 7:07:05 AM","conditionO","","","9406","images/scrambled_2.jpeg","2",""
"","image-button-response","14","89519","0.0-14.0","9/12/2023, 7:07:05 AM","conditionO","","","10249","images/order_2.jpeg","1",""
"","image-button-response","15","95398","0.0-15.0","9/12/2023, 7:07:05 AM","conditionO","","","5877","images/memory_1.png","1",""
"","image-button-response","16","98262","0.0-16.0","9/12/2023, 7:07:05 AM","conditionO","","","2862","images/memory_2.png","0",""
"","image-button-response","17","104967","0.0-17.0","9/12/2023, 7:07:05 AM","conditionO","","","6704","images/memory_3.png","0",""
"","image-button-response","18","112778","0.0-18.0","9/12/2023, 7:07:05 AM","conditionO","","","7810","images/scrambled_1.jpeg","2",""
"","image-button-response","19","122672","0.0-19.0","9/12/2023, 7:07:05 AM","conditionO","","","9894","images/order_1.jpeg","0",""
"","image-button-response","20","127918","0.0-20.0","9/12/2023, 7:07:05 AM","conditionO","","","5244","images/non_order_1.jpeg","1",""
"","image-button-response","21","130979","0.0-21.0","9/12/2023, 7:07:05 AM","conditionO","","","3059","images/memory_4.png","1",""
"","image-button-response","22","134972","0.0-22.0","9/12/2023, 7:07:05 AM","conditionO","","","3992","images/memory_6.png","0",""
"","image-button-response","23","140035","0.0-23.0","9/12/2023, 7:07:05 AM","conditionO","","","5062","images/memory_5.png","1",""
"","image-button-response","24","147474","0.0-24.0","9/12/2023, 7:07:05 AM","conditionO","","","7437","images/non_order_44.jpeg","1",""
"","image-button-response","25","155986","0.0-25.0","9/12/2023, 7:07:05 AM","conditionO","","","8511","images/non_order_22.jpeg","1",""
"","image-button-response","26","164565","0.0-26.0","9/12/2023, 7:07:05 AM","conditionO","","","8576","images/order_66.jpeg","0",""
"","image-button-response","27","170503","0.0-27.0","9/12/2023, 7:07:05 AM","conditionO","","","5937","images/memory_14.jpg","1",""
"","image-button-response","28","174726","0.0-28.0","9/12/2023, 7:07:05 AM","conditionO","","","4222","images/memory_15.jpg","0",""
"","image-button-response","29","178718","0.0-29.0","9/12/2023, 7:07:05 AM","conditionO","","","3990","images/memory_16.png","1",""
"","survey-text","30","182185","0.0-30.0","9/12/2023, 7:07:05 AM","conditionO","","","3463","","","{""Q0"":""35""}"
"","survey-text","31","185976","0.0-31.0","9/12/2023, 7:07:05 AM","conditionO","","","3789","","","{""Q0"":""male""}"
"","instructions","32","194928","0.0-32.0","9/12/2023, 7:07:05 AM","conditionO","","[{""page_index"":0,""viewing_time"":8950}]","8950","","",""
