"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2375","0.0-0.0","9/12/2023, 9:07:48 AM","conditionS","","","","","",""
"","call-function","1","2377","0.0-1.0","9/12/2023, 9:07:48 AM","conditionS","","","","","",""
"","instructions","2","17419","0.0-2.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":1516},{""page_index"":1,""viewing_time"":5161},{""page_index"":2,""viewing_time"":2094},{""page_index"":3,""viewing_time"":1326},{""page_index"":4,""viewing_time"":1446},{""page_index"":5,""viewing_time"":3498}]","15041","","",""
"","image-button-response","3","19077","0.0-3.0","9/12/2023, 9:07:48 AM","conditionS","","","1657","images/with_no_order_2.jpeg","1",""
"","instructions","4","21216","0.0-4.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":2139}]","2139","","",""
"","image-button-response","5","22580","0.0-5.0","9/12/2023, 9:07:48 AM","conditionS","","","1363","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","23515","0.0-6.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":933}]","933","","",""
"","image-button-response","7","24713","0.0-7.0","9/12/2023, 9:07:48 AM","conditionS","","","1197","images/with_order_2.jpeg","0",""
"","instructions","8","25593","0.0-8.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":878}]","878","","",""
"","instructions","9","27711","0.0-9.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":2118}]","2118","","",""
"","image-button-response","10","33317","0.0-10.0","9/12/2023, 9:07:48 AM","conditionS","","","5604","images/memory_example_1.jpg","0",""
"","instructions","11","35606","0.0-11.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":1401},{""page_index"":1,""viewing_time"":888}]","2289","","",""
"","image-button-response","12","42126","0.0-12.0","9/12/2023, 9:07:48 AM","conditionS","","","6517","images/non_order_2.jpeg","1",""
"","image-button-response","13","46463","0.0-13.0","9/12/2023, 9:07:48 AM","conditionS","","","4335","images/scrambled_2.jpeg","2",""
"","image-button-response","14","60809","0.0-14.0","9/12/2023, 9:07:48 AM","conditionS","","","14344","images/order_2.jpeg","1",""
"","image-button-response","15","66196","0.0-15.0","9/12/2023, 9:07:48 AM","conditionS","","","5386","images/memory_1.png","1",""
"","image-button-response","16","69606","0.0-16.0","9/12/2023, 9:07:48 AM","conditionS","","","3409","images/memory_2.png","0",""
"","image-button-response","17","72379","0.0-17.0","9/12/2023, 9:07:48 AM","conditionS","","","2771","images/memory_3.png","0",""
"","image-button-response","18","80078","0.0-18.0","9/12/2023, 9:07:48 AM","conditionS","","","7697","images/scrambled_1.jpeg","2",""
"","image-button-response","19","90951","0.0-19.0","9/12/2023, 9:07:48 AM","conditionS","","","10872","images/order_1.jpeg","0",""
"","image-button-response","20","99737","0.0-20.0","9/12/2023, 9:07:48 AM","conditionS","","","8785","images/non_order_1.jpeg","1",""
"","image-button-response","21","102570","0.0-21.0","9/12/2023, 9:07:48 AM","conditionS","","","2829","images/memory_4.png","1",""
"","image-button-response","22","107711","0.0-22.0","9/12/2023, 9:07:48 AM","conditionS","","","5136","images/memory_6.png","0",""
"","image-button-response","23","114621","0.0-23.0","9/12/2023, 9:07:48 AM","conditionS","","","6909","images/memory_5.png","1",""
"","image-button-response","24","121309","0.0-24.0","9/12/2023, 9:07:48 AM","conditionS","","","6687","images/non_order_44.jpeg","1",""
"","image-button-response","25","128068","0.0-25.0","9/12/2023, 9:07:48 AM","conditionS","","","6759","images/non_order_22.jpeg","1",""
"","image-button-response","26","132562","0.0-26.0","9/12/2023, 9:07:48 AM","conditionS","","","4493","images/order_66.jpeg","0",""
"","image-button-response","27","136785","0.0-27.0","9/12/2023, 9:07:48 AM","conditionS","","","4221","images/memory_14.jpg","1",""
"","image-button-response","28","143941","0.0-28.0","9/12/2023, 9:07:48 AM","conditionS","","","7155","images/memory_15.jpg","0",""
"","image-button-response","29","147235","0.0-29.0","9/12/2023, 9:07:48 AM","conditionS","","","3293","images/memory_16.png","1",""
"","survey-text","30","149909","0.0-30.0","9/12/2023, 9:07:48 AM","conditionS","","","2668","","","{""Q0"":""33""}"
"","survey-text","31","158113","0.0-31.0","9/12/2023, 9:07:48 AM","conditionS","","","8200","","","{""Q0"":""MALE""}"
"","instructions","32","166406","0.0-32.0","9/12/2023, 9:07:48 AM","conditionS","","[{""page_index"":0,""viewing_time"":8292}]","8292","","",""
