"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","4529","0.0-0.0","9/12/2023, 9:26:32 AM","conditionO","","","","","",""
"","call-function","1","4531","0.0-1.0","9/12/2023, 9:26:32 AM","conditionO","","","","","",""
"","instructions","2","24276","0.0-2.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":3542},{""page_index"":1,""viewing_time"":4631},{""page_index"":2,""viewing_time"":1741},{""page_index"":3,""viewing_time"":1061},{""page_index"":4,""viewing_time"":3303},{""page_index"":5,""viewing_time"":5467}]","19745","","",""
"","image-button-response","3","26194","0.0-3.0","9/12/2023, 9:26:32 AM","conditionO","","","1918","images/with_no_order_2.jpeg","1",""
"","instructions","4","27896","0.0-4.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":1700}]","1700","","",""
"","image-button-response","5","29451","0.0-5.0","9/12/2023, 9:26:32 AM","conditionO","","","1554","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","30866","0.0-6.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":1413}]","1414","","",""
"","image-button-response","7","32796","0.0-7.0","9/12/2023, 9:26:32 AM","conditionO","","","1928","images/with_order_2.jpeg","0",""
"","instructions","8","33823","0.0-8.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":1027}]","1027","","",""
"","instructions","9","35809","0.0-9.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":1985}]","1985","","",""
"","image-button-response","10","39891","0.0-10.0","9/12/2023, 9:26:32 AM","conditionO","","","4082","images/memory_example_1.jpg","0",""
"","instructions","11","42065","0.0-11.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":1204},{""page_index"":1,""viewing_time"":968}]","2172","","",""
"","image-button-response","12","46390","0.0-12.0","9/12/2023, 9:26:32 AM","conditionO","","","4324","images/non_order_2.jpeg","1",""
"","image-button-response","13","49002","0.0-13.0","9/12/2023, 9:26:32 AM","conditionO","","","2611","images/scrambled_2.jpeg","2",""
"","image-button-response","14","55646","0.0-14.0","9/12/2023, 9:26:32 AM","conditionO","","","6644","images/order_2.jpeg","1",""
"","image-button-response","15","59738","0.0-15.0","9/12/2023, 9:26:32 AM","conditionO","","","4092","images/memory_1.png","1",""
"","image-button-response","16","62899","0.0-16.0","9/12/2023, 9:26:32 AM","conditionO","","","3161","images/memory_2.png","0",""
"","image-button-response","17","66110","0.0-17.0","9/12/2023, 9:26:32 AM","conditionO","","","3209","images/memory_3.png","0",""
"","image-button-response","18","77348","0.0-18.0","9/12/2023, 9:26:32 AM","conditionO","","","11237","images/scrambled_1.jpeg","1",""
"","image-button-response","19","81523","0.0-19.0","9/12/2023, 9:26:32 AM","conditionO","","","4173","images/order_1.jpeg","0",""
"","image-button-response","20","88571","0.0-20.0","9/12/2023, 9:26:32 AM","conditionO","","","7047","images/non_order_1.jpeg","1",""
"","image-button-response","21","92053","0.0-21.0","9/12/2023, 9:26:32 AM","conditionO","","","3481","images/memory_4.png","0",""
"","image-button-response","22","99686","0.0-22.0","9/12/2023, 9:26:32 AM","conditionO","","","7632","images/memory_6.png","0",""
"","image-button-response","23","103410","0.0-23.0","9/12/2023, 9:26:32 AM","conditionO","","","3724","images/memory_5.png","1",""
"","image-button-response","24","107117","0.0-24.0","9/12/2023, 9:26:32 AM","conditionO","","","3706","images/non_order_44.jpeg","1",""
"","image-button-response","25","113620","0.0-25.0","9/12/2023, 9:26:32 AM","conditionO","","","6503","images/non_order_22.jpeg","1",""
"","image-button-response","26","118050","0.0-26.0","9/12/2023, 9:26:32 AM","conditionO","","","4429","images/order_66.jpeg","0",""
"","image-button-response","27","120034","0.0-27.0","9/12/2023, 9:26:32 AM","conditionO","","","1983","images/memory_14.jpg","0",""
"","image-button-response","28","122436","0.0-28.0","9/12/2023, 9:26:32 AM","conditionO","","","2400","images/memory_15.jpg","1",""
"","image-button-response","29","127722","0.0-29.0","9/12/2023, 9:26:32 AM","conditionO","","","5286","images/memory_16.png","1",""
"","survey-text","30","129782","0.0-30.0","9/12/2023, 9:26:32 AM","conditionO","","","2056","","","{""Q0"":""32""}"
"","survey-text","31","132831","0.0-31.0","9/12/2023, 9:26:32 AM","conditionO","","","3048","","","{""Q0"":""MALE""}"
"","instructions","32","144694","0.0-32.0","9/12/2023, 9:26:32 AM","conditionO","","[{""page_index"":0,""viewing_time"":11862}]","11862","","",""
