"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2010","0.0-0.0","9/12/2023, 9:32:04 AM","conditionS","","","","","",""
"","call-function","1","2011","0.0-1.0","9/12/2023, 9:32:04 AM","conditionS","","","","","",""
"","instructions","2","14748","0.0-2.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":771},{""page_index"":1,""viewing_time"":4786.39999961853},{""page_index"":2,""viewing_time"":639},{""page_index"":3,""viewing_time"":1783},{""page_index"":4,""viewing_time"":1232.5},{""page_index"":5,""viewing_time"":3523.6000003814697}]","12735.800000190735","","",""
"","image-button-response","3","16797","0.0-3.0","9/12/2023, 9:32:04 AM","conditionS","","","2048.3999996185303","images/with_no_order_2.jpeg","1",""
"","instructions","4","18511","0.0-4.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":1713.5}]","1713.6999998092651","","",""
"","image-button-response","5","19411","0.0-5.0","9/12/2023, 9:32:04 AM","conditionS","","","899.1999998092651","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","20163","0.0-6.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":751.5}]","751.6999998092651","","",""
"","image-button-response","7","21334","0.0-7.0","9/12/2023, 9:32:04 AM","conditionS","","","1169.9000005722046","images/with_order_2.jpeg","0",""
"","instructions","8","22287","0.0-8.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":953}]","953.1999998092651","","",""
"","instructions","9","23691","0.0-9.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":1403.1999998092651}]","1403.3999996185303","","",""
"","image-button-response","10","32065","0.0-10.0","9/12/2023, 9:32:04 AM","conditionS","","","8372.89999961853","images/memory_example_1.jpg","1",""
"","instructions","11","34719","0.0-11.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":1628.1999998092651},{""page_index"":1,""viewing_time"":1025.0999994277954}]","2653.3999996185303","","",""
"","image-button-response","12","38193","0.0-12.0","9/12/2023, 9:32:04 AM","conditionS","","","3473.199999809265","images/non_order_2.jpeg","1",""
"","image-button-response","13","43995","0.0-13.0","9/12/2023, 9:32:04 AM","conditionS","","","5801","images/scrambled_2.jpeg","2",""
"","image-button-response","14","51243","0.0-14.0","9/12/2023, 9:32:04 AM","conditionS","","","7246.800000190735","images/order_2.jpeg","1",""
"","image-button-response","15","55673","0.0-15.0","9/12/2023, 9:32:04 AM","conditionS","","","4429.300000190735","images/memory_1.png","0",""
"","image-button-response","16","59020","0.0-16.0","9/12/2023, 9:32:04 AM","conditionS","","","3347.199999809265","images/memory_2.png","0",""
"","image-button-response","17","63293","0.0-17.0","9/12/2023, 9:32:04 AM","conditionS","","","4271.300000190735","images/memory_3.png","0",""
"","image-button-response","18","69398","0.0-18.0","9/12/2023, 9:32:04 AM","conditionS","","","6105","images/scrambled_1.jpeg","1",""
"","image-button-response","19","73829","0.0-19.0","9/12/2023, 9:32:04 AM","conditionS","","","4429.300000190735","images/order_1.jpeg","0",""
"","image-button-response","20","76958","0.0-20.0","9/12/2023, 9:32:04 AM","conditionS","","","3129.0999994277954","images/non_order_1.jpeg","1",""
"","image-button-response","21","79362","0.0-21.0","9/12/2023, 9:32:04 AM","conditionS","","","2403.1000003814697","images/memory_4.png","1",""
"","image-button-response","22","82221","0.0-22.0","9/12/2023, 9:32:04 AM","conditionS","","","2857.1000003814697","images/memory_6.png","0",""
"","image-button-response","23","87476","0.0-23.0","9/12/2023, 9:32:04 AM","conditionS","","","5255.099999427795","images/memory_5.png","1",""
"","image-button-response","24","90332","0.0-24.0","9/12/2023, 9:32:04 AM","conditionS","","","2854.8999996185303","images/non_order_44.jpeg","1",""
"","image-button-response","25","94165","0.0-25.0","9/12/2023, 9:32:04 AM","conditionS","","","3831.4000005722046","images/non_order_22.jpeg","1",""
"","image-button-response","26","97946","0.0-26.0","9/12/2023, 9:32:04 AM","conditionS","","","3780.9000005722046","images/order_66.jpeg","0",""
"","image-button-response","27","100404","0.0-27.0","9/12/2023, 9:32:04 AM","conditionS","","","2457.5999994277954","images/memory_14.jpg","0",""
"","image-button-response","28","103444","0.0-28.0","9/12/2023, 9:32:04 AM","conditionS","","","3039.0999994277954","images/memory_15.jpg","0",""
"","image-button-response","29","107876","0.0-29.0","9/12/2023, 9:32:04 AM","conditionS","","","4431.60000038147","images/memory_16.png","1",""
"","survey-text","30","110511","0.0-30.0","9/12/2023, 9:32:04 AM","conditionS","","","2632.1000003814697","","","{""Q0"":""31""}"
"","survey-text","31","113837","0.0-31.0","9/12/2023, 9:32:04 AM","conditionS","","","3323.199999809265","","","{""Q0"":""MALE""}"
"","instructions","32","118691","0.0-32.0","9/12/2023, 9:32:04 AM","conditionS","","[{""page_index"":0,""viewing_time"":4853.700000762939}]","4853.700000762939","","",""
