"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","3952","0.0-0.0","9/12/2023, 9:03:44 AM","conditionO","","","","","",""
"","call-function","1","3952","0.0-1.0","9/12/2023, 9:03:44 AM","conditionO","","","","","",""
"","instructions","2","16603","0.0-2.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":1416.8000000715256},{""page_index"":1,""viewing_time"":4234},{""page_index"":2,""viewing_time"":1905.5},{""page_index"":3,""viewing_time"":1188.7999999523163},{""page_index"":4,""viewing_time"":1360},{""page_index"":5,""viewing_time"":2545.100000023842}]","12650.399999976158","","",""
"","image-button-response","3","19215","0.0-3.0","9/12/2023, 9:03:44 AM","conditionO","","","2609.899999976158","images/with_no_order_2.jpeg","1",""
"","instructions","4","20940","0.0-4.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":1725}]","1725.2000000476837","","",""
"","image-button-response","5","22190","0.0-5.0","9/12/2023, 9:03:44 AM","conditionO","","","1248.2999999523163","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","22916","0.0-6.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":725.7000000476837}]","725.8999999761581","","",""
"","image-button-response","7","24237","0.0-7.0","9/12/2023, 9:03:44 AM","conditionO","","","1319.6000000238419","images/with_order_2.jpeg","0",""
"","instructions","8","25072","0.0-8.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":835}]","835.2000000476837","","",""
"","instructions","9","27024","0.0-9.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":1951.2999999523163}]","1951.5","","",""
"","image-button-response","10","34625","0.0-10.0","9/12/2023, 9:03:44 AM","conditionO","","","7599.300000071526","images/memory_example_1.jpg","0",""
"","instructions","11","36804","0.0-11.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":1208.8999999761581},{""page_index"":1,""viewing_time"":970}]","2179","","",""
"","image-button-response","12","39295","0.0-12.0","9/12/2023, 9:03:44 AM","conditionO","","","2489.5","images/non_order_2.jpeg","1",""
"","image-button-response","13","41459","0.0-13.0","9/12/2023, 9:03:44 AM","conditionO","","","2162.8000000715256","images/scrambled_2.jpeg","2",""
"","image-button-response","14","51318","0.0-14.0","9/12/2023, 9:03:44 AM","conditionO","","","9858.100000023842","images/order_2.jpeg","1",""
"","image-button-response","15","55466","0.0-15.0","9/12/2023, 9:03:44 AM","conditionO","","","4147.799999952316","images/memory_1.png","0",""
"","image-button-response","16","60178","0.0-16.0","9/12/2023, 9:03:44 AM","conditionO","","","4709.299999952316","images/memory_2.png","1",""
"","image-button-response","17","64239","0.0-17.0","9/12/2023, 9:03:44 AM","conditionO","","","4059.7000000476837","images/memory_3.png","0",""
"","image-button-response","18","79776","0.0-18.0","9/12/2023, 9:03:44 AM","conditionO","","","15535.5","images/scrambled_1.jpeg","2",""
"","image-button-response","19","87071","0.0-19.0","9/12/2023, 9:03:44 AM","conditionO","","","7294.600000023842","images/order_1.jpeg","0",""
"","image-button-response","20","92078","0.0-20.0","9/12/2023, 9:03:44 AM","conditionO","","","5005.700000047684","images/non_order_1.jpeg","1",""
"","image-button-response","21","95726","0.0-21.0","9/12/2023, 9:03:44 AM","conditionO","","","3646.899999976158","images/memory_4.png","1",""
"","image-button-response","22","98779","0.0-22.0","9/12/2023, 9:03:44 AM","conditionO","","","3052.399999976158","images/memory_6.png","0",""
"","image-button-response","23","102484","0.0-23.0","9/12/2023, 9:03:44 AM","conditionO","","","3703.2000000476837","images/memory_5.png","1",""
"","image-button-response","24","110966","0.0-24.0","9/12/2023, 9:03:44 AM","conditionO","","","8480.799999952316","images/non_order_44.jpeg","1",""
"","image-button-response","25","121198","0.0-25.0","9/12/2023, 9:03:44 AM","conditionO","","","10230.199999928474","images/non_order_22.jpeg","1",""
"","image-button-response","26","125613","0.0-26.0","9/12/2023, 9:03:44 AM","conditionO","","","4413.899999976158","images/order_66.jpeg","0",""
"","image-button-response","27","131501","0.0-27.0","9/12/2023, 9:03:44 AM","conditionO","","","5887.199999928474","images/memory_14.jpg","1",""
"","image-button-response","28","136698","0.0-28.0","9/12/2023, 9:03:44 AM","conditionO","","","5195.300000071526","images/memory_15.jpg","0",""
"","image-button-response","29","139501","0.0-29.0","9/12/2023, 9:03:44 AM","conditionO","","","2801.600000023842","images/memory_16.png","1",""
"","survey-text","30","142032","0.0-30.0","9/12/2023, 9:03:44 AM","conditionO","","","2527.2000000476837","","","{""Q0"":""29""}"
"","survey-text","31","146353","0.0-31.0","9/12/2023, 9:03:44 AM","conditionO","","","4318.5","","","{""Q0"":""Male""}"
"","instructions","32","160398","0.0-32.0","9/12/2023, 9:03:44 AM","conditionO","","[{""page_index"":0,""viewing_time"":14044}]","14044.299999952316","","",""
