"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","value","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","2242","0.0-0.0","9/12/2023, 9:09:57 AM","conditionO","","","","","",""
"","call-function","1","2244","0.0-1.0","9/12/2023, 9:09:57 AM","conditionO","","","","","",""
"","instructions","2","19276","0.0-2.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":1454.3000000002794},{""page_index"":1,""viewing_time"":5165.299999999814},{""page_index"":2,""viewing_time"":2828},{""page_index"":3,""viewing_time"":1598.6000000000931},{""page_index"":4,""viewing_time"":2141.399999999907},{""page_index"":5,""viewing_time"":3842.100000000093}]","17030.100000000093","","",""
"","image-button-response","3","21809","0.0-3.0","9/12/2023, 9:09:57 AM","conditionO","","","2530.899999999907","images/with_no_order_2.jpeg","1",""
"","instructions","4","23624","0.0-4.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":1814.3000000002794}]","1814.6000000000931","","",""
"","image-button-response","5","24862","0.0-5.0","9/12/2023, 9:09:57 AM","conditionO","","","1237.1999999997206","images/with_no_no_order_2.jpeg","2",""
"","instructions","6","25719","0.0-6.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":856.3000000002794}]","856.6000000000931","","",""
"","image-button-response","7","27380","0.0-7.0","9/12/2023, 9:09:57 AM","conditionO","","","1659.2999999998137","images/with_order_2.jpeg","0",""
"","instructions","8","28362","0.0-8.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":981.5}]","982","","",""
"","instructions","9","29506","0.0-9.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":1142.5}]","1142.7000000001863","","",""
"","image-button-response","10","38863","0.0-10.0","9/12/2023, 9:09:57 AM","conditionO","","","9356.100000000093","images/memory_example_1.jpg","0",""
"","instructions","11","42237","0.0-11.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":2213.2999999998137},{""page_index"":1,""viewing_time"":1160}]","3373.5","","",""
"","image-button-response","12","46189","0.0-12.0","9/12/2023, 9:09:57 AM","conditionO","","","3951.2999999998137","images/non_order_2.jpeg","1",""
"","image-button-response","13","49080","0.0-13.0","9/12/2023, 9:09:57 AM","conditionO","","","2889.899999999907","images/scrambled_2.jpeg","2",""
"","image-button-response","14","55149","0.0-14.0","9/12/2023, 9:09:57 AM","conditionO","","","6068","images/order_2.jpeg","1",""
"","image-button-response","15","58960","0.0-15.0","9/12/2023, 9:09:57 AM","conditionO","","","3809.2999999998137","images/memory_1.png","1",""
"","image-button-response","16","61992","0.0-16.0","9/12/2023, 9:09:57 AM","conditionO","","","3031","images/memory_2.png","1",""
"","image-button-response","17","65223","0.0-17.0","9/12/2023, 9:09:57 AM","conditionO","","","3229.899999999907","images/memory_3.png","1",""
"","image-button-response","18","69781","0.0-18.0","9/12/2023, 9:09:57 AM","conditionO","","","4557.299999999814","images/scrambled_1.jpeg","2",""
"","image-button-response","19","78697","0.0-19.0","9/12/2023, 9:09:57 AM","conditionO","","","8914.80000000028","images/order_1.jpeg","0",""
"","image-button-response","20","83481","0.0-20.0","9/12/2023, 9:09:57 AM","conditionO","","","4783.899999999907","images/non_order_1.jpeg","1",""
"","image-button-response","21","87221","0.0-21.0","9/12/2023, 9:09:57 AM","conditionO","","","3738.100000000093","images/memory_4.png","1",""
"","image-button-response","22","89559","0.0-22.0","9/12/2023, 9:09:57 AM","conditionO","","","2338.2000000001863","images/memory_6.png","1",""
"","image-button-response","23","93185","0.0-23.0","9/12/2023, 9:09:57 AM","conditionO","","","3623.899999999907","images/memory_5.png","1",""
"","image-button-response","24","96049","0.0-24.0","9/12/2023, 9:09:57 AM","conditionO","","","2863.1999999997206","images/non_order_44.jpeg","2",""
"","image-button-response","25","105345","0.0-25.0","9/12/2023, 9:09:57 AM","conditionO","","","9295.299999999814","images/non_order_22.jpeg","1",""
"","image-button-response","26","109021","0.0-26.0","9/12/2023, 9:09:57 AM","conditionO","","","3675.6999999997206","images/order_66.jpeg","0",""
"","image-button-response","27","112115","0.0-27.0","9/12/2023, 9:09:57 AM","conditionO","","","3092.899999999907","images/memory_14.jpg","0",""
"","image-button-response","28","114451","0.0-28.0","9/12/2023, 9:09:57 AM","conditionO","","","2334.7999999998137","images/memory_15.jpg","0",""
"","image-button-response","29","118941","0.0-29.0","9/12/2023, 9:09:57 AM","conditionO","","","4488.699999999721","images/memory_16.png","1",""
"","survey-text","30","122019","0.0-30.0","9/12/2023, 9:09:57 AM","conditionO","","","3072.5","","","{""Q0"":""35""}"
"","survey-text","31","125526","0.0-31.0","9/12/2023, 9:09:57 AM","conditionO","","","3503.2999999998137","","","{""Q0"":""female""}"
"","instructions","32","128813","0.0-32.0","9/12/2023, 9:09:57 AM","conditionO","","[{""page_index"":0,""viewing_time"":3286.6999999997206}]","3287","","",""
